gid,id,nm_bai,nome
1039,400025992,Nossa Senhora de Fátima,Nossa Senhora de Fátima
1040,400046032,Guarema,Res. Guarema
1041,400019692,Santa Rita,Parque Santa Rita
1042,400046180,Kátia,Res. Kátia
1052,400046435,Florida,Res. Flórida
1053,400019892,Recreio do Funcionário Publico,Recreio do Funcionário Público
1046,400046084,das Esmeraldas,Cond. das Esmeraldas
1047,400007492,Capuava,Capuava
1054,400046444,Bonanza,Res. Porto Dourado
1055,400024892,Candida de Morais,Setor Candida de Morais
1056,400025092,Ipiranga,Ipiranga
1057,400025192,São Francisco,São Francisco
1058,400035892,Habitacional Aruanã III,Conjunto Habitacional Aruanã III
1084,400046604,,Gleba
1059,400046600,,Gleba
1060,400004692,das Nações,Parque das Nações
1061,400046117,Ipê,Jd. Ipê
1065,400001492,Curitiba,Jd. Curitiba
1066,400045919,da Vitória,da Vitória
1068,400001592,Fortaleza,Res. Fortaleza
1069,400001892,,Gleba
1070,400001692,Liberdade,Jd. Liberdade
1072,400024492,Parque Tremendão,Setor Parque Tremendão
1075,400001992,Novo Planalto,Setor Novo Planalto
1085,400046224,,Gleba
1076,400045980,Privê Norte,Res. Privê Norte
1077,400015292,Mauá,Vila Mauá
1079,400045982,Solar Santa Rita,Setor Solar Santa Rita
1081,400046198,,Gleba
1088,400027592,Celina Park,Celina Park
1089,400027392,Dona Gê,Chácara Dona Gê
1090,400045955,Solar Ville,Res. Solar Ville
1091,400021792,Vila Maria José,Vila Maria José
1093,400046158,João Paulo II,Res. João Paulo II
1094,400046124,Vale dos Sonhos I,Res. Vale dos Sonhos I
1096,400046517,,Gleba
