,tipo,ordem_dia,data,cd_geocmu,municipios,confirmados,li_80,ls_80,li_95,ls_95
113,Obs,13,2020-03-30,52,GOIÁS,59,NA,NA,NA,NA
114,Obs,3,2020-03-30,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
115,Obs,13,2020-03-30,5201108,ANÁPOLIS,4,NA,NA,NA,NA
116,Obs,13,2020-03-30,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
117,Obs,9,2020-03-30,5205109,CATALÃO,1,NA,NA,NA,NA
118,Obs,3,2020-03-30,5208608,GOIANÉSIA,1,NA,NA,NA,NA
119,Obs,13,2020-03-30,5208707,GOIÂNIA,35,NA,NA,NA,NA
120,Obs,1,2020-03-30,5211503,ITUMBIARA,2,NA,NA,NA,NA
121,Obs,13,2020-03-30,5211909,JATAÍ,2,NA,NA,NA,NA
122,Obs,6,2020-03-30,5212501,LUZIÂNIA,1,NA,NA,NA,NA
123,Obs,13,2020-03-30,5218805,RIO VERDE,7,NA,NA,NA,NA
124,Obs,6,2020-03-30,5220603,SILVÂNIA,1,NA,NA,NA,NA
125,Obs,7,2020-03-30,5221858,VALPARAÍSO DE GOIÁS,2,NA,NA,NA,NA
126,Obs,13,2020-03-30,5300108,BRASÍLIA,289,NA,NA,NA,NA
127,Obs,14,2020-03-31,52,GOIÁS,65,NA,NA,NA,NA
128,Obs,4,2020-03-31,5200258,ÁGUAS LINDAS DE GOIÁS,1,NA,NA,NA,NA
129,Obs,14,2020-03-31,5201108,ANÁPOLIS,4,NA,NA,NA,NA
130,Obs,14,2020-03-31,5201405,APARECIDA DE GOIÂNIA,2,NA,NA,NA,NA
131,Obs,10,2020-03-31,5205109,CATALÃO,1,NA,NA,NA,NA
132,Obs,4,2020-03-31,5208608,GOIANÉSIA,1,NA,NA,NA,NA
133,Obs,14,2020-03-31,5208707,GOIÂNIA,39,NA,NA,NA,NA
134,Obs,2,2020-03-31,5211503,ITUMBIARA,2,NA,NA,NA,NA
